sub	name	x	y	z	size	chan_num	FS_label	FS_vol	FS_ind	WMvsGM	LvsR	sEEG_ECoG	Desikan_Killiany	DK_ind	DK_lobe	Destrieux	Destr_ind	Destr_long	Yeo7	Yeo7_ind	Yeo17	Yeo17_ind	PTD_ind	surr_GM_vox	surr_WM_vox	LEPTO_coord_1	LEPTO_coord_2	LEPTO_coord_3	MNI_coord_1	MNI_coord_2	MNI_coord_3	MGRID_coord_1	MGRID_coord_2	MGRID_coord_3	subINF_coord_1	subINF_coord_2	subINF_coord_3	fsaverageINF_coord_1	fsaverageINF_coord_2	fsaverageINF_coord_3	ScannerNativeRAS_coord_1	ScannerNativeRAS_coord_2	ScannerNativeRAS_coord_3	sub_name
sub-03	LANT11	-54.5770813	-7.462723457	-6.008913979	3.5 mm	11	LANT11	ctx-lh-superiortemporal	1030	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Somatomotor	3	17Networks_14	15	0.92	24.0	1.0	-52.667	-1.667	22.0	-54.5770813	-7.462723457	-6.008913979	181.667	107.0	130.667	-42.25628281	17.4389801	-32.83082581	-35.40080261	8.194224358	-35.36203384	-51.18432316	35.00348689	15.25250757	sub-03 LANT11
sub-03	LANT12	-59.7889043	-7.696979457	-7.399684979	3.5 mm	12	LANT12	Left-Cerebral-White-Matter	2	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Somatomotor	3	17Networks_14	15	-0.03703704	13.0	14.0	-57.667	-1.667	21.0	-59.7889043	-7.696979457	-7.399684979	186.667	108.0	130.667	-43.49512863	12.91022015	-30.93779182	-35.38444901	7.767598152	-34.77007675	-56.18432286	35.00348689	14.25250769	sub-03 LANT12
sub-03	LANT13	-64.93327638	-7.823480018	-8.667282972	3.5 mm	13	LANT13	ctx-lh-superiortemporal	1030	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Somatomotor	3	17Networks_14	15	1.0	15.0	0.0	-62.5913	-1.5761	20.1212	-64.93327638	-7.823480018	-8.667282972	191.5913	108.8788	130.5761	-44.26268768	9.490095139	-29.43131256	-35.36251831	7.337387085	-34.18343735	-61.10862256	35.09438688	13.37370779	sub-03 LANT13
sub-03	LANT14	-70.07764846	-7.94998058	-9.934880965	3.5 mm	14	LANT14	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-67.5156	-1.4852	19.2424	-70.07764846	-7.94998058	-9.934880965	196.5156	109.7576	130.4852	-44.47112656	9.392946243	-29.68475151	-35.92555237	9.221938133	-38.07978058	-66.03292227	35.18528687	12.4949079	sub-03 LANT14
sub-03	LHIP1	-21.30484182	-7.364462164	-25.49205638	3.5 mm	15	LHIP1	Left-Hippocampus	17	WM	L	sEEG	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-22.5	0.5	3.25	-21.30484182	-7.364462164	-25.49205638	151.5	125.75	128.5	2.317299724	23.72627449	-63.44633484	1.08260037	12.26408672	-62.06656647	-21.01732495	37.17048663	-3.497490197	sub-03 LHIP1
sub-03	LHIP2	-25.51668299	-8.73402395	-22.23741826	3.5 mm	16	LHIP2	Left-Inf-Lat-Vent	5	WM	L	sEEG	Left-Inf-Lat-Vent	Left-Inf-Lat-Vent	Left-Inf-Lat-Vent	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-26.333	-1.222	6.111	-25.51668299	-8.73402395	-22.23741826	155.333	122.889	130.222	5.724412441	25.66456223	-54.18535233	2.024985075	13.60954475	-60.79286575	-24.85032473	35.44848683	-0.636490538	sub-03 LHIP2
sub-03	LHIP3	-29.6771312	-10.33487461	-19.23368684	3.5 mm	17	LHIP3	Left-Cerebral-White-Matter	2	GM	L	sEEG	undefined	undefined	undefined	Unknown	Unknown	Unknown	FreeSurfer_Defined_Medial_Wall	0	FreeSurfer_Defined_Medial_Wall	1	-0.84	2.0	23.0	-30.143	-3.143	8.714	-29.6771312	-10.33487461	-19.23368684	159.143	120.286	132.143	6.832435131	21.62710953	-54.04209518	6.683506489	23.03391647	-55.27724838	-28.6603245	33.52748706	1.966509151	sub-03 LHIP3
sub-03	LHIP4	-33.88900207	-11.75994516	-16.33934463	3.5 mm	18	LHIP4	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-34.0	-4.875	11.25	-33.88900207	-11.75994516	-16.33934463	163.0	117.75	133.875	6.471004963	18.00037384	-54.52949905	6.392553806	19.41249084	-55.36153412	-32.51732427	31.79548727	4.502508849	sub-03 LHIP4
sub-03	LHIP5	-37.88406534	-13.16320664	-13.69830139	3.5 mm	19	LHIP5	Left-Cerebral-White-Matter	2	GM	L	sEEG	superiortemporal	31	Temporal	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_7	8	-0.8518519	2.0	25.0	-37.667	-6.556	13.556	-37.88406534	-13.16320664	-13.69830139	166.667	115.444	135.556	-22.0343895	24.37653732	-26.18505096	-18.91618347	24.58830261	-33.35097504	-36.18432405	30.11448747	6.808508574	sub-03 LHIP5
sub-03	LHIP6	-42.48228146	-14.84087715	-10.63427427	3.5 mm	20	LHIP6	Left-Cerebral-White-Matter	2	GM	L	sEEG	superiortemporal	31	Temporal	S_temporal_sup	74	Superior temporal sulcus (parallel sulcus)	Default	8	17Networks_17	18	-0.8518519	2.0	25.0	-41.889	-8.556	16.222	-42.48228146	-14.84087715	-10.63427427	170.889	112.778	137.556	-45.21588135	15.40298939	-39.95773697	-21.54712296	19.78110695	-31.55155563	-40.4063238	28.11448771	9.474508256	sub-03 LHIP6
sub-03	LHIP7	-46.73142402	-16.49758401	-7.881965978	3.5 mm	21	LHIP7	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-45.8	-10.5	18.6	-46.73142402	-16.49758401	-7.881965978	174.8	110.4	139.5	-46.46165466	6.213234425	-36.95990372	-22.16647339	16.96374512	-29.11303711	-44.31732357	26.17048794	11.85250797	sub-03 LHIP7
sub-03	LHIP8	-51.20192052	-17.61947651	-5.209112078	3.5 mm	22	LHIP8	Left-Cerebral-White-Matter	2	GM	L	sEEG	transversetemporal	35	Temporal	S_temporal_transverse	75	Transverse temporal sulcus	Somatomotor	3	17Networks_4	5	-0.3333333	9.0	18.0	-49.9	-11.9	21.0	-51.20192052	-17.61947651	-5.209112078	178.9	108.0	140.9	-38.67972565	3.386832237	-21.3543396	-39.34275818	-2.157466412	-33.7712326	-48.41732332	24.77048811	14.25250769	sub-03 LHIP8
sub-03	LHIP9	-55.64420057	-18.55802481	-2.281727128	3.5 mm	23	LHIP9	ctx-lh-superiortemporal	1030	GM	L	sEEG	superiortemporal	31	Temporal	S_temporal_transverse	75	Transverse temporal sulcus	Somatomotor	3	17Networks_4	5	0.68	21.0	4.0	-53.95	-13.15	23.65	-55.64420057	-18.55802481	-2.281727128	182.95	105.35	142.15	-40.8254509	1.444746614	-21.52200317	-39.19603348	-4.230270386	-30.62672806	-52.46732308	23.52048826	16.90250737	sub-03 LHIP9
sub-03	LHIP10	-60.08648062	-19.49657311	0.645657822	3.5 mm	24	LHIP10	Left-Cerebral-White-Matter	2	GM	L	sEEG	superiortemporal	31	Temporal	S_temporal_transverse	75	Transverse temporal sulcus	Somatomotor	3	17Networks_4	5	-0.8518519	2.0	25.0	-58.0	-14.4	26.3	-60.08648062	-19.49657311	0.645657822	187.0	102.7	143.4	-42.59822464	-0.767137408	-21.48794174	-38.851017	-6.181790829	-27.826931	-56.51732284	22.27048841	19.55250705	sub-03 LHIP10
sub-03	LHIP11	-64.39550575	-20.84453147	3.549828934	3.5 mm	25	LHIP11	Left-Cerebral-White-Matter	2	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Somatomotor	3	17Networks_14	15	0.2592593	17.0	10.0	-61.9444	-16.0555	28.8611	-64.39550575	-20.84453147	3.549828934	190.9444	100.1389	145.0555	-46.049263	-7.057321548	-21.47778702	-36.13986969	-9.733587265	-20.23776054	-60.4617226	20.6149886	22.11360675	sub-03 LHIP11
sub-03	LHIP12	-68.70463303	-22.19259014	6.454011566	3.5 mm	26	LHIP12	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-65.8889	-17.7111	31.4222	-68.70463303	-22.19259014	6.454011566	194.8889	97.5778	146.7111	-45.8134079	-8.995497704	-20.02573586	-36.91347885	-12.60659409	-19.37229347	-64.40622237	18.9593888	24.67470644	sub-03 LHIP12
sub-03	LHIP13	-73.01365453	-23.5406469	9.358199818	3.5 mm	27	LHIP13	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-69.8333	-19.3667	33.9833	-73.01365453	-23.5406469	9.358199818	198.8333	95.0167	148.3667	-45.78013992	-11.33571339	-18.91882896	-37.02179718	-14.09420395	-18.48244476	-68.35062213	17.303789	27.23580614	sub-03 LHIP13
sub-03	LHIP14	-77.32278543	-24.88860716	12.26236531	3.5 mm	28	LHIP14	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-73.7778	-21.0222	36.5444	-77.32278543	-24.88860716	12.26236531	202.7778	92.4556	150.0222	-44.99755478	-13.06073475	-16.89742088	-36.88479614	-15.6004982	-17.12064552	-72.2951219	15.64828919	29.79690583	sub-03 LHIP14
sub-03	LSU1	-43.51903874	-37.5451283	7.342330071	3.5 mm	29	LSU1	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-42.818	-33.364	28.6364	-43.51903874	-37.5451283	7.342330071	171.818	100.3636	162.364	-45.13784409	-33.18440628	-21.6367588	-29.67427444	-14.89934444	-7.558706284	-41.33532374	3.306490666	21.88890678	sub-03 LSU1
sub-03	LSU2	-48.63926551	-38.05189001	8.855985129	3.5 mm	30	LSU2	ctx-lh-bankssts	1001	GM	L	sEEG	bankssts	2	Temporal	S_temporal_sup	74	Superior temporal sulcus (parallel sulcus)	Default	8	17Networks_14	15	-0.03703704	13.0	14.0	-47.571	-34.0	30.1429	-48.63926551	-38.05189001	8.855985129	176.571	98.8571	163.0	-44.8886261	-32.9432106	-18.11735153	-32.848526	-20.995821	-4.203423023	-46.08832346	2.670490742	23.3954066	sub-03 LSU2
sub-03	LSU3	-53.82557345	-38.18315391	10.2735335	3.5 mm	31	LSU3	Left-Cerebral-White-Matter	2	GM	L	sEEG	bankssts	2	Temporal	S_temporal_sup	74	Superior temporal sulcus (parallel sulcus)	Default	8	17Networks_14	15	-0.4074074	8.0	19.0	-52.375	-34.25	31.625	-53.82557345	-38.18315391	10.2735335	181.375	97.375	163.25	-44.8952713	-31.63875961	-15.53753281	-38.78701401	-29.55467415	-16.80888367	-50.89232317	2.420490772	24.87750642	sub-03 LSU3
sub-03	LSU4	-59.02948802	-38.23130621	11.55390922	3.5 mm	32	LSU4	Left-Cerebral-White-Matter	2	GM	L	sEEG	bankssts	2	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Somatomotor	3	17Networks_14	15	-0.7037037	4.0	23.0	-57.2	-34.4	33.0	-59.02948802	-38.23130621	11.55390922	186.2	96.0	163.4	-45.38613129	-28.23109245	-14.01233864	-36.58582687	-29.03777504	-1.918559074	-55.71732289	2.270490789	26.25250626	sub-03 LSU4
sub-03	LSU5	-63.76170086	-38.1442869	12.89854502	3.5 mm	33	LSU5	ctx-lh-superiortemporal	1030	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Somatomotor	3	17Networks_14	15	1.0	26.0	0.0	-61.571	-34.429	34.4286	-63.76170086	-38.1442869	12.89854502	190.571	94.5714	163.429	-45.10689926	-25.69532204	-12.2224493	-37.6008606	-29.79363823	-7.406861305	-60.08832263	2.241490793	27.68110609	sub-03 LSU5
sub-03	LSU6	-68.82241362	-38.29413366	14.28754903	3.5 mm	34	LSU6	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-66.2593	-34.6953	35.8766	-68.82241362	-38.29413366	14.28754903	195.2593	93.1234	163.6953	-44.89850616	-25.90328217	-11.73168659	-37.47753143	-30.07561302	-6.416089535	-64.77662235	1.975190825	29.12910591	sub-03 LSU6
sub-03	LSR1	-41.88009499	-41.71641312	5.784902272	3.5 mm	35	LSR1	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-41.556	-37.333	26.556	-41.88009499	-41.71641312	5.784902272	170.556	102.444	166.333	-45.18508911	-36.80889511	-25.92963791	-37.73373413	-35.36219406	-16.71707344	-40.07332382	-0.662508861	19.80850702	sub-03 LSR1
sub-03	LSR2	-46.51632162	-43.63217181	5.903952422	3.5 mm	36	LSR2	ctx-lh-bankssts	1001	GM	L	sEEG	bankssts	2	Temporal	S_temporal_sup	74	Superior temporal sulcus (parallel sulcus)	Default	8	17Networks_14	15	1.0	26.0	0.0	-46.0	-39.2	26.6	-46.51632162	-43.63217181	5.903952422	175.0	102.4	168.2	-42.51961517	-42.75485611	-16.51690483	-36.96327972	-37.81080246	-13.91014004	-44.51732355	-2.529508638	19.85250702	sub-03 LSR2
sub-03	LSR3	-51.02118854	-45.96873403	6.128984267	3.5 mm	37	LSR3	ctx-lh-bankssts	1001	WM	L	sEEG	ctx-lh-bankssts	ctx-lh-bankssts	ctx-lh-bankssts	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-50.333	-41.5	26.667	-51.02118854	-45.96873403	6.128984267	179.333	102.333	170.5	-41.88376617	-52.93243027	-21.61766052	-35.99233627	-40.911026	-15.00673485	-48.8503233	-4.829508364	19.91950701	sub-03 LSR3
sub-03	LSR4	-56.11154567	-47.32620156	6.455292917	3.5 mm	38	LSR4	ctx-lh-bankssts	1001	GM	L	sEEG	bankssts	2	Temporal	S_temporal_sup	74	Superior temporal sulcus (parallel sulcus)	Default	8	17Networks_14	15	1.0	24.0	0.0	-55.167	-42.833	27.0	-56.11154567	-47.32620156	6.455292917	184.167	102.0	171.833	-41.45743179	-56.73890305	-22.07476425	-36.4105835	-41.28025055	-21.29623604	-53.68432301	-6.162508205	20.25250697	sub-03 LSR4
sub-03	LSR5	-60.59793732	-50.03324891	6.668879122	3.5 mm	39	LSR5	ctx-lh-middletemporal	1015	GM	L	sEEG	middletemporal	16	Temporal	G_temporal_middle	38	Middle temporal gyrus (T2)	Default	8	17Networks_14	15	0.7037037	23.0	4.0	-59.5	-45.5	27.0	-60.59793732	-50.03324891	6.668879122	188.5	102.0	174.5	-41.13667297	-59.18755722	-22.65952873	-35.70512009	-44.14192963	-22.54504395	-58.01732275	-8.829507887	20.25250697	sub-03 LSR5
sub-03	LSR6	-66.49484652	-52.02454471	7.362756322	3.5 mm	40	LSR6	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-65.1	-47.5	27.6	-66.49484652	-52.02454471	7.362756322	194.1	101.4	176.5	-40.66937256	-60.78280258	-22.59580803	-35.43131638	-45.46689987	-23.6980648	-63.61732242	-10.82950765	20.8525069	sub-03 LSR6
sub-03	LIR1	-43.45779012	-42.61909325	-1.230192922	3.5 mm	41	LIR1	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-43.5	-37.333	20.333	-43.45779012	-42.61909325	-1.230192922	172.5	108.667	166.333	-45.41218948	-36.11287308	-28.48394394	-39.5411644	-27.39683533	-25.80154991	-42.0173237	-0.662508861	13.58550777	sub-03 LIR1
sub-03	LIR2	-47.6781743	-45.18071146	-2.543618979	3.5 mm	42	LIR2	Left-Cerebral-White-Matter	2	GM	L	sEEG	bankssts	2	Temporal	S_temporal_sup	74	Superior temporal sulcus (parallel sulcus)	Default	8	17Networks_17	18	-0.5555556	6.0	21.0	-47.667	-39.667	19.0	-47.6781743	-45.18071146	-2.543618979	176.667	110.0	168.667	-45.12578964	-40.26104736	-30.70471764	-39.78546143	-25.59228325	-27.25584793	-46.18432345	-2.996508583	12.25250793	sub-03 LIR2
sub-03	LIR3	-52.64681232	-47.21564491	-3.610815878	3.5 mm	43	LIR3	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-52.5	-41.5	18.0	-52.64681232	-47.21564491	-3.610815878	181.5	111.0	170.5	-45.00261307	-51.45726776	-36.80807114	-36.25588608	-40.93407822	-18.64673805	-51.01732317	-4.829508364	11.25250804	sub-03 LIR3
sub-03	LIR4	-56.69198432	-50.38317191	-4.431159878	3.5 mm	44	LIR4	ctx-lh-middletemporal	1015	GM	L	sEEG	middletemporal	16	Temporal	G_temporal_middle	38	Middle temporal gyrus (T2)	Default	8	17Networks_13	14	0.8181818	20.0	2.0	-56.5	-44.5	17.0	-56.69198432	-50.38317191	-4.431159878	185.5	112.0	173.5	-44.76832581	-54.25797272	-39.28486252	-35.53107834	-46.19894409	-32.65909576	-55.01732293	-7.829508007	10.25250816	sub-03 LIR4
sub-03	LIR5	-60.9440393	-52.73412146	-5.403671979	3.5 mm	45	LIR5	Left-Cerebral-White-Matter	2	GM	L	sEEG	middletemporal	16	Temporal	G_temporal_middle	38	Middle temporal gyrus (T2)	Default	8	17Networks_13	14	0.2592593	17.0	10.0	-60.667	-46.667	16.0	-60.9440393	-52.73412146	-5.403671979	189.667	113.0	175.667	-44.51945877	-54.19876099	-42.13703156	-35.48326111	-46.60686111	-29.72922134	-59.18432268	-9.996507748	9.252508283	sub-03 LIR5
sub-03	LIR6	-65.31565064	-55.26288642	-6.44710004	3.5 mm	46	LIR6	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-64.9588	-49.0005	14.9167	-65.31565064	-55.26288642	-6.44710004	193.9588	114.0833	178.0005	-44.26891327	-54.84393311	-42.31057739	-34.92036057	-48.11899185	-27.55444527	-63.47612242	-12.33000747	8.169208412	sub-03 LIR6
sub-03	LIN1	-42.10726842	-40.79373521	-5.488915178	3.5 mm	47	LIN1	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-42.4	-35.0	16.8	-42.10726842	-40.79373521	-5.488915178	171.4	112.2	164.0	-45.97359848	-32.06805801	-32.38592148	-39.93747711	-24.42271423	-28.61890221	-40.91732377	1.670490861	10.05250819	sub-03 LIN1
sub-03	LIN2	-46.12808042	-43.45426881	-7.077938378	3.5 mm	48	LIN2	Left-Cerebral-White-Matter	2	GM	L	sEEG	middletemporal	16	Temporal	S_temporal_sup	74	Superior temporal sulcus (parallel sulcus)	Default	8	17Networks_17	18	-0.9259259	1.0	26.0	-46.4	-37.4	15.2	-46.12808042	-43.45426881	-7.077938378	175.4	113.8	166.4	-45.53707504	-36.8255043	-31.92398834	-23.69059753	-40.32846451	-51.86943817	-44.91732353	-0.729508853	8.452508378	sub-03 LIN2
sub-03	LIN3	-50.26464752	-45.97649958	-8.621027834	3.5 mm	49	LIN3	Left-Cerebral-White-Matter	2	GM	L	sEEG	middletemporal	16	Temporal	G_temporal_middle	38	Middle temporal gyrus (T2)	Default	8	17Networks_13	14	-0.7777778	3.0	24.0	-50.5	-39.667	13.667	-50.26464752	-45.97649958	-8.621027834	179.5	115.333	168.667	-44.50064468	-41.4103775	-45.94306183	-36.66259766	-39.04397202	-39.67282867	-49.01732329	-2.996508583	6.919508561	sub-03 LIN3
sub-03	LIN4	-54.38125342	-48.77914181	-10.26722658	3.5 mm	50	LIN4	ctx-lh-middletemporal	1015	GM	L	sEEG	middletemporal	16	Temporal	G_temporal_middle	38	Middle temporal gyrus (T2)	Default	8	17Networks_13	14	1.0	19.0	0.0	-54.6	-42.2	12.0	-54.38125342	-48.77914181	-10.26722658	183.6	117.0	171.2	-44.90906143	-46.83381271	-43.52923203	-36.11104202	-42.06751633	-37.89853668	-53.11732304	-5.529508281	5.252508759	sub-03 LIN4
sub-03	LIN5	-58.56750982	-51.45322116	-11.74942338	3.5 mm	51	LIN5	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-58.75	-44.625	10.5	-58.56750982	-51.45322116	-11.74942338	187.75	118.5	173.625	-44.80258179	-50.03799057	-42.77141571	-34.7223053	-44.4930687	-39.33810425	-57.26732279	-7.954507992	3.752508938	sub-03 LIN5
sub-03	LIN6	-62.68256836	-54.11814186	-13.31454186	3.5 mm	52	LIN6	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-62.8375	-47.0313	8.925	-62.68256836	-54.11814186	-13.31454186	191.8375	120.075	176.0313	-41.61318588	-48.61552048	-49.12963104	-33.89208603	-45.73130035	-40.01955795	-61.35482255	-10.3608077	2.177509126	sub-03 LIN6
